id_pacco,data_ora,status,note,nome_check_point,città_check_point
PC001,2025-03-10 08:30:00,Autorizzato,Prioritario,Capital Knot,Central Region
PC001,2025-03-11 10:15:00,Spedito,,South Knot,Central Region
PC001,2025-03-13 14:30:00,In Consegna,,Lake Knot,Central Region
PC002,2025-03-10 09:45:00,Autorizzato,Fragile,Lake Knot,Central Region
PC002,2025-03-12 11:20:00,Spedito,,Port Knot,East Region
PC002,2025-03-14 08:15:00,In Consegna,,Timefall,East Region
PC002,2025-03-15 10:30:00,Consegnato,,Lake Knot,Central Region
PC003,2025-03-11 10:15:00,Autorizzato,Refrigerato,South Knot,Central Region
PC003,2025-03-13 15:30:00,Fase di Controllo,Controllo temp,Distributor NW,Central Region
PC003,2025-03-15 09:30:00,In Consegna,,South Knot,Central Region
PC004,2025-03-11 14:30:00,Autorizzato,Pesante,Lake Knot,Central Region
PC004,2025-03-13 13:45:00,Spedito,,Mountain Knot,Mountain Region
PC004,2025-03-15 11:00:00,Consegnato,,Mountain Knot,Mountain Region
PC005,2025-03-12 09:00:00,Autorizzato,Bundle grande,Capital Knot,Central Region
PC005,2025-03-14 10:45:00,Spedito,,South Knot,Central Region
PC005,2025-03-16 14:20:00,In Consegna,,Lake Knot,Central Region
PC006,2025-03-12 11:20:00,Autorizzato,Leggero,Port Knot,East Region
PC006,2025-03-14 08:15:00,Fase di Controllo,,Weather Stat,East Region
PC006,2025-03-16 16:45:00,In Consegna,,Port Knot,East Region
PC006,2025-03-17 13:30:00,Consegnato,,Port Knot,East Region
PC007,2025-03-13 13:45:00,Autorizzato,Elettronica,Capital Knot,Central Region
PC007,2025-03-15 09:30:00,Spedito,,Lake Knot,Central Region
PC008,2025-03-13 15:30:00,Autorizzato,,Capital Knot,Central Region
PC008,2025-03-15 11:00:00,Spedito,,South Knot,Central Region
PC008,2025-03-17 10:15:00,Consegnato,,WindFarm,Central Region
PC009,2025-03-14 08:15:00,Autorizzato,Regalo,South Knot,Central Region
PC009,2025-03-16 14:20:00,Spedito,,Distributor NW,Central Region
PC009,2025-03-18 09:00:00,In Consegna,,Elder,Central Region
PC009,2025-03-19 11:30:00,Consegnato,,Elder,Central Region
PC010,2025-03-14 10:45:00,Autorizzato,Pesante,Timefall,East Region
PC010,2025-03-16 16:45:00,Fase di Controllo,,Engineer Loc,East Region
PC010,2025-03-18 14:30:00,In Consegna,,Timefall,East Region
PC010,2025-03-20 09:15:00,Consegnato,,Timefall,East Region
PC011,2025-03-15 09:30:00,Autorizzato,Bundle grande,Port Knot,East Region
PC012,2025-03-15 11:00:00,Autorizzato,Sanitario,Capital Knot,Central Region
PC012,2025-03-17 10:15:00,Spedito,,Lake Knot,Central Region
PC012,2025-03-19 13:45:00,Fase di Controllo,,South Knot,Central Region
PC013,2025-03-16 14:20:00,Autorizzato,Regalo,Lake Knot,Central Region
PC013,2025-03-18 09:00:00,Spedito,,Craftsman Loc,Mountain Region
PC013,2025-03-20 11:20:00,In Consegna,,Geologist Loc,Mountain Region
PC014,2025-03-16 16:45:00,Autorizzato,Refrigerato,South Knot,Central Region
PC014,2025-03-18 14:30:00,Spedito,,Distributor NW,Central Region
PC014,2025-03-20 15:30:00,Consegnato,,Film Direct,Central Region
PC015,2025-03-17 08:30:00,Autorizzato,Bundle grande,Timefall,East Region
PC015,2025-03-19 10:15:00,Spedito,,Weather Stat,East Region
PC015,2025-03-21 09:45:00,In Consegna,,Port Knot,East Region
PC015,2025-03-23 14:20:00,Consegnato,,Timefall,East Region
PC016,2025-03-17 11:30:00,Autorizzato,Materiali,Mountain Knot,Mountain Region
PC016,2025-03-19 13:00:00,Spedito,,Craftsman Loc,Mountain Region
PC016,2025-03-21 10:45:00,In Consegna,,Geologist Loc,Mountain Region
PC016,2025-03-22 15:30:00,Consegnato,,Mountain Knot,Mountain Region
PC017,2025-03-17 14:10:00,Autorizzato,Sicurezza,Distributor NW,Central Region
PC017,2025-03-19 16:30:00,Fase di Controllo,Verifica cont,Lake Knot,Central Region
PC017,2025-03-21 12:15:00,Spedito,,Capital Knot,Central Region
PC017,2025-03-23 09:40:00,In Consegna,,South Knot,Central Region
PC018,2025-03-18 09:45:00,Autorizzato,Regalo,Engineer Loc,East Region
PC019,2025-03-18 11:30:00,Autorizzato,Urgente,Doctor Loc,Mountain Region
PC019,2025-03-19 14:45:00,Spedito,,Mountain Knot,Mountain Region
PC019,2025-03-20 13:20:00,Consegnato,,Doctor Loc,Mountain Region
PC020,2025-03-18 15:20:00,Autorizzato,Bundle tech,Capital Knot,Central Region
PC020,2025-03-20 17:30:00,Spedito,,South Knot,Central Region
PC020,2025-03-24 10:45:00,Consegnato,,Capital Knot,Central Region
PC021,2025-03-19 08:15:00,Autorizzato,Cancelleria,Capital Knot,Central Region
PC021,2025-03-21 10:30:00,Spedito,,Lake Knot,Central Region
PC021,2025-03-23 15:45:00,In Consegna,,Craftsman Loc,Mountain Region
PC022,2025-03-19 10:40:00,Autorizzato,Tech,Lake Knot,Central Region
PC022,2025-03-21 12:15:00,Spedito,,Mountain Knot,Mountain Region
PC022,2025-03-22 16:30:00,Consegnato,,Mountain Knot,Mountain Region
PC023,2025-03-19 13:25:00,Autorizzato,Bundle tech,South Knot,Central Region
PC024,2025-03-20 09:50:00,Autorizzato,Dati,Lake Knot,Central Region
PC024,2025-03-21 11:45:00,Fase di Controllo,Verifica cont,South Knot,Central Region
PC024,2025-03-22 14:30:00,Spedito,,Capital Knot,Central Region
PC024,2025-03-23 10:15:00,Consegnato,,Lake Knot,Central Region
PC025,2025-03-20 12:15:00,Autorizzato,Alimentare,South Knot,Central Region
PC025,2025-03-22 09:30:00,Spedito,,Distributor NW,Central Region
PC025,2025-03-24 11:45:00,In Consegna,,Elder,Central Region
PC026,2025-03-20 14:40:00,Autorizzato,Carica,Capital Knot,Central Region
PC026,2025-03-22 16:15:00,Spedito,,Lake Knot,Central Region
PC027,2025-03-21 08:30:00,Autorizzato,Regalo,Lake Knot,Central Region
PC027,2025-03-23 10:45:00,Spedito,,Capital Knot,Central Region
PC027,2025-03-25 09:15:00,In Consegna,,Film Direct,Central Region
PC028,2025-03-21 11:15:00,Autorizzato,Bundle tech,Timefall,East Region
PC028,2025-03-23 13:30:00,Fase di Controllo,Verifica cont,Engineer Loc,East Region
PC028,2025-03-25 15:45:00,Spedito,,Port Knot,East Region
PC028,2025-03-28 10:20:00,In Consegna,,Weather Stat,East Region
PC029,2025-03-21 13:30:00,Autorizzato,Fragile,Craftsman Loc,Mountain Region
PC029,2025-03-23 15:45:00,Spedito,,Mountain Knot,Mountain Region
PC029,2025-03-24 14:30:00,Consegnato,,Craftsman Loc,Mountain Region
PC030,2025-03-21 16:00:00,Autorizzato,Dati medici,Doctor Loc,Mountain Region
PC030,2025-03-24 14:15:00,Spedito,,Geologist Loc,Mountain Region
PC030,2025-03-26 11:30:00,In Consegna,,Doctor Loc,Mountain Region
